Security_ID,Symbol,Company_Name,Sector,Rank,Alpha_Adjusted,Weight_Portfolio,Last_Close,Market_Cap,ADV_20D,Portfolio_Date,Engine_Version,Security_Return,Weight_Benchmark,Portfolio_Contribution,Benchmark_Contribution,Active_Weight,Active_Contribution
SECF5E25039,CUPID,Cupid Limited,Consumer Defensive,1,0.8644444444444446,0.018621254952984737,159.83999633789062,214594396188.70544,2129550510.7044053,2026-06-12,1.0.0,6.882434031960835,0.0,0.1281595588062414,0.0,0.018621254952984737,0.1281595588062414
SEC98541475,ATHERENERG,Ather Energy Limited,Consumer Cyclical,2,0.8651162790697674,0.022158026312308544,1034.1500244140625,401338390830.5786,4101349137.936835,2026-06-12,1.0.0,2.2362699543711813,0.0,0.049551328490381664,0.0,0.022158026312308544,0.049551328490381664
SEC604401C1,ACUTAAS,Acutaas Chemicals Limited,Basic Materials,3,0.8441634241245136,0.017401209290296836,3147.10009765625,256395788769.78665,1330672150.8816895,2026-06-12,1.0.0,1.8047583224133872,0.0,0.03140497728672036,0.0,0.017401209290296836,0.03140497728672036
SECA722432A,LAURUSLABS,Laurus Labs Limited,Healthcare,4,0.8746031746031747,0.021430547404452743,1392.199951171875,755809166617.0,2304859375.517785,2026-06-12,1.0.0,1.092783879718851,0.0,0.02341895673713662,0.0,0.021430547404452743,0.02341895673713662
SECA6E1B437,BELRISE,BELRISE INDUSTRIES LTD,Consumer Cyclical,5,0.8315891472868218,0.017701018657958135,227.44000244140625,201700020917.55493,1145386952.1773925,2026-06-12,1.0.0,1.1841348270811767,0.0,0.020960392667701937,0.0,0.017701018657958135,0.020960392667701937
SECD3E0F146,NATIONALUM,National Aluminium Company Limited,Basic Materials,6,0.8418287937743191,0.01984674381967204,376.2000122070313,692685667257.1392,5481602198.980354,2026-06-12,1.0.0,1.0510774322652159,0.0,0.02086046453280643,0.0,0.01984674381967204,0.02086046453280643
SECACB85887,SYRMA,Syrma SGS Technology Limited,Technology,7,0.8542452830188679,0.01550990130186243,1257.5,243709111494.88354,1300762504.6022766,2026-06-12,1.0.0,1.337776189219933,0.0,0.0207487766587828,0.0,0.01550990130186243,0.0207487766587828
SEC31D4BC12,GVT&D,GE Vernova T&D India Ltd,Industrials,8,0.832807570977918,0.022655167454010246,4890.0,1253219765557.5,4744110174.789648,2026-06-12,1.0.0,1.1298896850057103,0.004684334373569225,0.025597840018363256,0.005292781089813553,0.01797083308044102,0.020305058928549703
SEC3069B975,APARINDS,APAR Industries Limited,Industrials,9,0.8430599369085173,0.021034334860252742,15300.0,612255341400.0,1849503312.0,2026-06-12,1.0.0,0.8866790741698543,0.0,0.01865070455966759,0.0,0.021034334860252742,0.01865070455966759
SEC810017B2,KIRLOSENG,Kirloskar Oil Engines Limited,Industrials,10,0.8230283911671923,0.016529366356889636,1872.0,268952896400.0,671078758.9071411,2026-06-12,1.0.0,1.0655831107185243,0.0,0.01761341362078058,0.0,0.016529366356889636,0.01761341362078058
SEC40D715C2,HINDCOPPER,Hindustan Copper Limited,Basic Materials,11,0.8346303501945526,0.018422310696824238,508.7000122070313,491635005865.7538,2373609351.892441,2026-06-12,1.0.0,0.942584889633076,0.0,0.01736459169495231,0.0,0.018422310696824238,0.01736459169495231
